,STATION,NAME,DATE,SEASON,TMIN,TMAX,TAVG
270,USW00014739,"BOSTON, MA US",1937-09-28,FALL,50,55,
271,USW00014739,"BOSTON, MA US",1937-09-29,FALL,50,57,
272,USW00014739,"BOSTON, MA US",1937-09-30,FALL,48,64,
273,USW00014739,"BOSTON, MA US",1937-10-01,FALL,52,69,
274,USW00014739,"BOSTON, MA US",1937-10-02,FALL,48,65,
275,USW00014739,"BOSTON, MA US",1937-10-03,FALL,42,58,
276,USW00014739,"BOSTON, MA US",1937-10-04,FALL,43,59,
277,USW00014739,"BOSTON, MA US",1937-10-05,FALL,53,74,
278,USW00014739,"BOSTON, MA US",1937-10-06,FALL,64,71,
279,USW00014739,"BOSTON, MA US",1937-10-07,FALL,49,72,
280,USW00014739,"BOSTON, MA US",1937-10-08,FALL,39,56,
281,USW00014739,"BOSTON, MA US",1937-10-09,FALL,35,54,
282,USW00014739,"BOSTON, MA US",1937-10-10,FALL,44,52,
283,USW00014739,"BOSTON, MA US",1937-10-11,FALL,42,50,
284,USW00014739,"BOSTON, MA US",1937-10-12,FALL,40,66,
285,USW00014739,"BOSTON, MA US",1937-10-13,FALL,42,56,
286,USW00014739,"BOSTON, MA US",1937-10-14,FALL,36,51,
287,USW00014739,"BOSTON, MA US",1937-10-15,FALL,34,50,
288,USW00014739,"BOSTON, MA US",1937-10-16,FALL,37,51,
289,USW00014739,"BOSTON, MA US",1937-10-17,FALL,32,53,
290,USW00014739,"BOSTON, MA US",1937-10-18,FALL,39,60,
291,USW00014739,"BOSTON, MA US",1937-10-19,FALL,58,66,
292,USW00014739,"BOSTON, MA US",1937-10-20,FALL,54,71,
293,USW00014739,"BOSTON, MA US",1937-10-21,FALL,46,64,
294,USW00014739,"BOSTON, MA US",1937-10-22,FALL,53,69,
295,USW00014739,"BOSTON, MA US",1937-10-23,FALL,55,66,
296,USW00014739,"BOSTON, MA US",1937-10-24,FALL,42,59,
297,USW00014739,"BOSTON, MA US",1937-10-25,FALL,39,57,
298,USW00014739,"BOSTON, MA US",1937-10-26,FALL,41,62,
299,USW00014739,"BOSTON, MA US",1937-10-27,FALL,49,55,
300,USW00014739,"BOSTON, MA US",1937-10-28,FALL,51,55,
301,USW00014739,"BOSTON, MA US",1937-10-29,FALL,49,59,
302,USW00014739,"BOSTON, MA US",1937-10-30,FALL,49,67,
303,USW00014739,"BOSTON, MA US",1937-10-31,FALL,38,52,
304,USW00014739,"BOSTON, MA US",1937-11-01,FALL,33,52,
305,USW00014739,"BOSTON, MA US",1937-11-02,FALL,41,61,
306,USW00014739,"BOSTON, MA US",1937-11-03,FALL,37,54,
307,USW00014739,"BOSTON, MA US",1937-11-04,FALL,34,48,
308,USW00014739,"BOSTON, MA US",1937-11-05,FALL,37,54,
309,USW00014739,"BOSTON, MA US",1937-11-06,FALL,35,54,
310,USW00014739,"BOSTON, MA US",1937-11-07,FALL,34,59,
311,USW00014739,"BOSTON, MA US",1937-11-08,FALL,46,64,
312,USW00014739,"BOSTON, MA US",1937-11-09,FALL,47,66,
313,USW00014739,"BOSTON, MA US",1937-11-10,FALL,35,56,
314,USW00014739,"BOSTON, MA US",1937-11-11,FALL,27,41,
315,USW00014739,"BOSTON, MA US",1937-11-12,FALL,30,47,
316,USW00014739,"BOSTON, MA US",1937-11-13,FALL,46,56,
317,USW00014739,"BOSTON, MA US",1937-11-14,FALL,50,58,
318,USW00014739,"BOSTON, MA US",1937-11-15,FALL,45,55,
319,USW00014739,"BOSTON, MA US",1937-11-16,FALL,41,50,
320,USW00014739,"BOSTON, MA US",1937-11-17,FALL,41,49,
321,USW00014739,"BOSTON, MA US",1937-11-18,FALL,35,49,
322,USW00014739,"BOSTON, MA US",1937-11-19,FALL,35,43,
323,USW00014739,"BOSTON, MA US",1937-11-20,FALL,34,37,
324,USW00014739,"BOSTON, MA US",1937-11-21,FALL,29,35,
325,USW00014739,"BOSTON, MA US",1937-11-22,FALL,26,32,
326,USW00014739,"BOSTON, MA US",1937-11-23,FALL,23,41,
327,USW00014739,"BOSTON, MA US",1937-11-24,FALL,30,41,
328,USW00014739,"BOSTON, MA US",1937-11-25,FALL,37,52,
329,USW00014739,"BOSTON, MA US",1937-11-26,FALL,36,54,
330,USW00014739,"BOSTON, MA US",1937-11-27,FALL,44,58,
331,USW00014739,"BOSTON, MA US",1937-11-28,FALL,45,62,
332,USW00014739,"BOSTON, MA US",1937-11-29,FALL,36,60,
333,USW00014739,"BOSTON, MA US",1937-11-30,FALL,32,48,
334,USW00014739,"BOSTON, MA US",1937-12-01,FALL,32,44,
335,USW00014739,"BOSTON, MA US",1937-12-02,FALL,29,37,
336,USW00014739,"BOSTON, MA US",1937-12-03,FALL,24,34,
337,USW00014739,"BOSTON, MA US",1937-12-04,FALL,23,37,
338,USW00014739,"BOSTON, MA US",1937-12-05,FALL,24,38,
339,USW00014739,"BOSTON, MA US",1937-12-06,FALL,27,47,
340,USW00014739,"BOSTON, MA US",1937-12-07,FALL,31,50,
341,USW00014739,"BOSTON, MA US",1937-12-08,FALL,25,34,
342,USW00014739,"BOSTON, MA US",1937-12-09,FALL,25,35,
343,USW00014739,"BOSTON, MA US",1937-12-10,FALL,22,34,
344,USW00014739,"BOSTON, MA US",1937-12-11,FALL,18,33,
345,USW00014739,"BOSTON, MA US",1937-12-12,FALL,17,31,
346,USW00014739,"BOSTON, MA US",1937-12-13,FALL,16,24,
347,USW00014739,"BOSTON, MA US",1937-12-14,FALL,16,30,
348,USW00014739,"BOSTON, MA US",1937-12-15,FALL,24,39,
349,USW00014739,"BOSTON, MA US",1937-12-16,FALL,28,39,
350,USW00014739,"BOSTON, MA US",1937-12-17,FALL,34,41,
351,USW00014739,"BOSTON, MA US",1937-12-18,FALL,37,41,
352,USW00014739,"BOSTON, MA US",1937-12-19,FALL,33,44,
353,USW00014739,"BOSTON, MA US",1937-12-20,FALL,28,40,
354,USW00014739,"BOSTON, MA US",1937-12-21,WINTER,22,29,
355,USW00014739,"BOSTON, MA US",1937-12-22,WINTER,25,48,
356,USW00014739,"BOSTON, MA US",1937-12-23,WINTER,29,46,
357,USW00014739,"BOSTON, MA US",1937-12-24,WINTER,22,38,
358,USW00014739,"BOSTON, MA US",1937-12-25,WINTER,35,42,
359,USW00014739,"BOSTON, MA US",1937-12-26,WINTER,27,42,
360,USW00014739,"BOSTON, MA US",1937-12-27,WINTER,22,36,
361,USW00014739,"BOSTON, MA US",1937-12-28,WINTER,22,34,
362,USW00014739,"BOSTON, MA US",1937-12-29,WINTER,22,33,
363,USW00014739,"BOSTON, MA US",1937-12-30,WINTER,19,34,
364,USW00014739,"BOSTON, MA US",1937-12-31,WINTER,17,26,
365,USW00014739,"BOSTON, MA US",1938-01-01,WINTER,12,37,
366,USW00014739,"BOSTON, MA US",1938-01-02,WINTER,26,38,
367,USW00014739,"BOSTON, MA US",1938-01-03,WINTER,27,37,
368,USW00014739,"BOSTON, MA US",1938-01-04,WINTER,26,38,
369,USW00014739,"BOSTON, MA US",1938-01-05,WINTER,29,43,
370,USW00014739,"BOSTON, MA US",1938-01-06,WINTER,26,41,
371,USW00014739,"BOSTON, MA US",1938-01-07,WINTER,34,57,
372,USW00014739,"BOSTON, MA US",1938-01-08,WINTER,27,40,
373,USW00014739,"BOSTON, MA US",1938-01-09,WINTER,20,28,
374,USW00014739,"BOSTON, MA US",1938-01-10,WINTER,18,27,
375,USW00014739,"BOSTON, MA US",1938-01-11,WINTER,14,22,
376,USW00014739,"BOSTON, MA US",1938-01-12,WINTER,10,30,
377,USW00014739,"BOSTON, MA US",1938-01-13,WINTER,24,30,
378,USW00014739,"BOSTON, MA US",1938-01-14,WINTER,24,33,
379,USW00014739,"BOSTON, MA US",1938-01-15,WINTER,11,24,
380,USW00014739,"BOSTON, MA US",1938-01-16,WINTER,9,30,
381,USW00014739,"BOSTON, MA US",1938-01-17,WINTER,14,30,
382,USW00014739,"BOSTON, MA US",1938-01-18,WINTER,5,16,
383,USW00014739,"BOSTON, MA US",1938-01-19,WINTER,3,25,
