,DAPR,DAPR_ATTRIBUTES,DATE,ELEVATION,LATITUDE,LONGITUDE,MDPR,MDPR_ATTRIBUTES,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
89,,,1959-05-01,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.08,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,56,",,0",44,",,0",55,",,0,0800",    1,",,0",,,,,,,,,,
90,,,1959-05-02,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,59,",,0",30,",,0",58,",,0,0800",,,,,,,,,,,,
91,,,1959-05-03,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,63,",,0",42,",,0",60,",,0,0800",,,,,,,,,,,,
92,,,1959-05-04,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,68,",,0",29,",,0",67,",,0,0800",,,,,,,,,,,,
93,,,1959-05-05,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,69,",,0",30,",,0",69,",,0,0800",,,,,,,,,,,,
94,,,1959-05-06,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,77,",,0",37,",,0",74,",,0,0800",,,,,,,,,,,,
95,,,1959-05-07,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,78,",,0",44,",,0",78,",,0,0800",,,,,,,,,,,,
96,,,1959-05-08,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,78,",,0",51,",,0",59,",,0,0800",,,,,,,,,,,,
97,,,1959-05-09,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,66,",,0",32,",,0",64,",,0,0800",,,,,,,,,,,,
98,,,1959-05-10,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,69,",,0",32,",,0",68,",,0,0800",,,,,,,,,,,,
99,,,1959-05-11,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,"T,,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,80,",,0",51,",,0",79,",,0,0800",,,    1,",,0",,,,,,,,
100,,,1959-05-12,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.26,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,84,",,0",58,",,0",68,",,0,0800",    1,",,0",,,,,,,,,,
101,,,1959-05-13,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.25,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,68,",,0",54,",,0",62,",,0,0800",,,,,,,,,,,,
102,,,1959-05-14,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.20,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,62,",,0",48,",,0",60,",,0,0800",,,,,,,,,,,,
103,,,1959-05-15,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,60,",,0",37,",,0",46,",,0,0800",,,,,,,,,,,,
104,,,1959-05-16,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,52,",,0",35,",,0",48,",,0,0800",,,,,,,,,,,,
105,,,1959-05-17,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.01,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,53,",,0",31,",,0",50,",,0,0800",,,,,,,,,,,,
106,,,1959-05-18,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,65,",,0",29,",,0",64,",,0,0800",,,,,,,,,,,,
107,,,1959-05-19,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,64,",,0",39,",,0",61,",,0,0800",,,,,,,,,,,,
108,,,1959-05-20,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.05,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,84,",,0",59,",,0",84,",,0,0800",,,,,,,,,,,,
109,,,1959-05-21,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,84,",,0",55,",,0",74,",,0,0800",,,,,,,,,,,,
